Title,Company,Location,Salary,Snippet,Date Posted,Job Url
Packer / Driver,Seamark Seafood & Cocktails —,,$21 - $25 an hour,Have a valid Massachusetts driver’s license with a clean driving record. Assist front of house team with ensuring retail shelves are full and communicating…,6d,https://www.simplyhired.com/job/zkXIzm4BnI3ho4pOoe9jvb0aZG_77i_9XtDzvJjVozOv0nzW98q0eA
Housekeeper-16hrs/wk days,Seamark Seafood & Cocktails —,,,"Operates various types of cleaning equipment both mechanical and electrical. Cleans assigned areas by washing high touch areas, such as door knobs, handrails,…",3h,https://www.simplyhired.com/job/3Q0_Y8-9GOA59T_gRnqz3QGRxOz4tn1nNRoKVhtSehuqDT4tq-L0oQ
Ticket Fulfillment Associate,Seamark Seafood & Cocktails —,,From $19.50 an hour,"Handle cash, convert vouchers and/or credit card transactions, make change and issue receipts, valid tickets to guests. High school diploma or GED.",14h,https://www.simplyhired.com/job/vRiGhki2OL6Fjjsjyp_GZwMRjbqaaEP1pjse1dPxtUA4JQTohFC3mQ
Conductor in Training,Seamark Seafood & Cocktails —,,$20.75 an hour,A valid driver’s license is required to successfully travel throughout the Commuter Rail network and locations as assigned. Must be able to see railroad colors.,6d,https://www.simplyhired.com/job/CS53oXGQSlyOjXVvHcgFyOOyJduf3Wax3H9JHEPZvOdpWsfFScfjSQ
Production Supervisor,Seamark Seafood & Cocktails —,,"$100,000 - $120,000 a year",This position requires possession of a valid driver’s license and the ability to drive an automobile. Strong mechanical aptitude and knowledge of manufacturing…,13h,https://www.simplyhired.com/job/nGfmn7GHikIiRBnshR2lREpaTcZDAewGu37noQTZaE6cZh4Ed4f0nQ
"Associate Talent Partner, Campus Programs",Seamark Seafood & Cocktails —,,,Build the target school strategy and develop relationships with Career Services and student organizations to brand Moderna as an employer of choice.,3d,https://www.simplyhired.com/job/0paHYELZh2NfmO73mki2-VJqkDrS8JAM-djKl8vmGULYVfy9Mq35jQ
Budtender,Seamark Seafood & Cocktails —,,From $19 an hour,"The Budtender responsibilities and priorities include answering questions about the state’s cannabis program and regulations, participating in community events…",5d,https://www.simplyhired.com/job/GfE_-qvHL45MXHwOW949VrcHCYT-9krVUJOAcO3XismemhA09gh8PA
Dental Receptionist,Seamark Seafood & Cocktails —,,$17 - $25 an hour,Handling phone calls and inquiries with professionalism. *Previous dental experience or experience in the medical field is required*.,5d,https://www.simplyhired.com/job/_EMBRBOIGXvh3_qcDjmNSb-cqY-F4FQw8Stu1NjIZZtqRLejYxF-AA
Residential Concierge,Seamark Seafood & Cocktails —,,,"Manages and provides access to the building(s) and units with all vendor/contractor/homeowners’ service providers and visitors, after previous authorization…",10h,https://www.simplyhired.com/job/ihTed5bZ18LmHy4KaVLY0ApvfZjqNsGvTwcblZ8Ucj3zeW1qDbF_9w
Construction Laborer,Truluck's —,,$18 an hour,Complete all field inspection items. The Field Tech is responsible for preparing the site for various construction tasks and completing certain construction and…,14h,https://www.simplyhired.com/job/vnyZAL5-pHykYKI83BvMnWQ_m-Yg_H8m6dQTxAjS6mMsfxPXqNOcdA
"Front Office Manager - Plastic & Reconstructive Surgery - Houston, TX",Truluck's —,,$25 - $30 an hour,"Manage the front office operations, including provider schedules, staffing, patient check-in/out, scheduling appointments/surgeries, and answering phone calls.",4d,https://www.simplyhired.com/job/D51Zy4uGRzGNolxZhlg26CdjzlGgo1qL_Hd-VcsSZ0ARWUjlASOAxw
Dental Lab - Full Technician,Truluck's —,,$25 - $40 an hour,"From the Affordable Care Support Center, located in North Carolina’s Research Triangle Park, along with field-based teams, Affordable Care provides business…",6d,https://www.simplyhired.com/job/WRcSugL7NW5V7T9_Wlimv7Pj2qtXlxwZsVV91hU5_9NlWjV-V-mWPA
Warehouse Assembly Associate,Truluck's —,,$18 an hour,Forklift certification an asset but not required. Meet and greet customers in a professional manner and assist with order pickup as required.,13h,https://www.simplyhired.com/job/MyQd5fTcHoKjdYkXaYkgXRwGrpVJL_ruSMSXuazAzwMx99owc9eGVA
Customer Service Director,Truluck's —,,"$95,000 - $115,000 a year","Bachelor’s degree in business administration, Marketing, or related field (or equivalent experience). The successful candidate will play a key role in driving…",4d,https://www.simplyhired.com/job/gM8777CzhmpsaySSA-as7rjoa3-iVcQJqrgdouP-DW9cwXVNDcN8hw
Front Desk Receptionist,Truluck's —,,$12 - $15 an hour,Maintaining the front desk and lobby area clean. Answering and routing phone calls. Data entry into our software (Avimark). Checking clients in and out.,6d,https://www.simplyhired.com/job/3atIPXnVhAAcn_fGntUKk3-gT0MzAQkrvjcuO4cKSIek01j2M6dU8w
Patient Care Coordinator,Truluck's —,,$18.61 - $22.41 an hour,"Educational Background: Associates or Bachelor's degree in healthcare administration, business, or a related field preferred but not required.",4d,https://www.simplyhired.com/job/gvhhX5tBcREBL3OglnlV61oiSaqVQ3pWgQ8GmAVkkT8Wqd__DDYz0A
Sr. Warehouse Associate,Truluck's —,,,Experience in customer service and telephone or equivalent training. Experience with data entry on a PC. Ability to make decisions on box size and packaging…,8h,https://www.simplyhired.com/job/osSxfYg4Ujpk7TY92j6nOaAF6Tm1ugaXE7XOAZmzPaIx5DYheWswrQ
CPS Conservatorship Caseworker,Truluck's —,,"$3,816.65 - $4,844.16 a month","Applicants for positions must have a reliable motor vehicle, and acceptable driving record for the past five years, and a current, valid Texas driver's license…",3d,https://www.simplyhired.com/job/kGGjMT1AtsOKmWkxfvcQKqkkVGrniMdWZzOyJRPWb8_ZFTI2HgBBDQ
Server,Truluck's —,,,"Providing hospitality focused service, with an emphasis on guests have a great experience. 50 % discount on food and non-alcoholic beverages when dining as a…",6d,https://www.simplyhired.com/job/v-9Z9Qn9WdXgn-f4IVFhRcnF8TeExek6QWNadi8tY2Cq80nXimG6Ag
Front Desk Specialist Needed for Growing Pediatric Dental Office,Truluck's —,,$17 - $22 an hour,"Handle multi-line phone systems efficiently, directing calls and taking messages as needed. Greet and check-in patients in a friendly and professional manner at…",3d,https://www.simplyhired.com/job/NPTOmfTNW7zI7Zy6uWmai1ks2u3TUTxvmryAtx1UhI0YUIy1r4jk7g
"Radiology Service Coordinator (Houston, TX)",Truluck's —,,$20 - $24 an hour,"They troubleshoot problems related to IT issues, answer phone calls from clients, and fulfill requests from Radiologist. 2+ years in Medical field.",4d,https://www.simplyhired.com/job/n2TCQh4M_IVIpC-bpzQh8DEqHBcmHCp3tw1kwzDK9NBJ1QqHx7rk5g
Railcar Inspection Manager,Truluck's —,,"From $75,000 a year","Skill(s): *Proficient reading, writing, grammar, and mathematics skills; proficient interpersonal relations and communicative skills; proficient mechanical…",3d,https://www.simplyhired.com/job/vmQ3gS5z06FJlnwRs3F9YcQEDWOKd_aqKCxQkT9mFLOUZoVTocYwcg
Medical Receptionist,Truluck's —,,From $16 an hour,"Answer phone calls, respond to inquiries, and direct calls appropriately. Manage front desk operations efficiently. Report to front office supervisor.",4d,https://www.simplyhired.com/job/XgetVPaLuV5HUGXALVkBKtxQtfw0M506qcbyR_-YuJ7UUNmgkiPsUw
Admission Secretary II,Truluck's —,,From $13 an hour,"Responsible for front desk duties to include, registration, scheduling, documentation and payment processes. Additional options for dental and vision benefits,…",5d,https://www.simplyhired.com/job/G7nEsAVhMkjnVXL-GXPjA9cX3_fA68iXIGrp20pDcaKFmnZ2VlYT9g
Assembly Technician 1,Truluck's —,,$18 - $20 an hour,"Experience working with hand tools, powers tools, and test equipment. Complete maintenance tasks that include replacing mechanical components on equipment,…",6d,https://www.simplyhired.com/job/yntFM1L-vADQT9B8csH_q9qPRHTfH1HsTvaIa_kbiUBjbORKivXaIw
HR Generalist,Truluck's —,,,"Coach and support field leadership with employee performance management issues, including coaching conversations, investigations, and progressive discipline.",16h,https://www.simplyhired.com/job/7n8bONRFdVrHeGPLHvTU8i4Q89oYr1cZb6t4IKu6IEQadFKJJ2OZ_w
Full Time Equipment Installer Technician (Criminal Justice) - Harris County,Truluck's —,,$16 an hour,Keep accurate records of service calls. Telephone calls to participants when needed for equipment or collection purposes. HS diploma or equivalent; experience.,5d,https://www.simplyhired.com/job/11TKVmclULu0NE5BLEOV7Kyj01OOGU_uEhoa2Jy3Cf4QW0ixBu8pww
Legal Administrative Assistant,Truluck's —,,$18 - $22 an hour,"Assist attorneys and paralegals with administrative tasks, such as drafting correspondence, filing documents, and maintaining case files.",14h,https://www.simplyhired.com/job/45-bK8m9gEd30ssxGlts8bUXSaHCUMm_gyIWYmoe2bmY_AyWYENBiw
Inexperienced Associate,Carolina Dentistry & Dentures —,,,"For new and experienced professionals, we offer continuous group training, one-on-one development planning, state-of-the-art training programs, referral-based…",3d,https://www.simplyhired.com/job/KJTeHn-OozbRk_MrmgcK54I7RELFNZwrWfm-9nx4faiYrXiTBKEkaQ
Dental Assistant,Carolina Dentistry & Dentures —,,From $20 an hour,"A successful candidate for this position should have the ability to prioritize, organize, and complete tasks in a timely and independent manner, and have the…",3d,https://www.simplyhired.com/job/wGu4U_ZUoPxbo-XbkCo9yBkjT-jR_k8ljlmyecVO6AY2a2W8nk4E6A
Dental Insurance Coordinator (hybrid),Carolina Dentistry & Dentures —,,,"Current opening is a permanent, full-time position working 4 or 5 days (32 - 40 hours each week), depending on candidate’s availability.",1d,https://www.simplyhired.com/job/kkwRTqce6hWSSo8h_4fm5ns5KXZJe8aJFeNq19rrx_7HjCFdXfrg3Q
Detailing Coordinator,Carolina Dentistry & Dentures —,,,"Under the direction of JMS Management, be involved in all construction conflicts/disputes (whether contractor, sales rep, designer, placer, detailer or shop),…",6d,https://www.simplyhired.com/job/TQcITFl4zjlbQwJUPZcPz2-Io9rcozbCEBaNRj90HYlw6quo_UEjDw
"Parts Back Counterperson- Greensboro, NC",Carolina Dentistry & Dentures —,,$18 - $24 an hour,"Follows prescribed cash, credit, and check processing procedures of the dealership. Knowledge of supplies, equipment, and mechanical parts.",7h,https://www.simplyhired.com/job/Oat6eJZO44rbfsXB0V0tqcqW-nJeiuYgfvGVDQBD4BEiPOyBJubLnA
Inbound Sales Call Center Representative,Carolina Dentistry & Dentures —,,$18 an hour,"The responsibilities include but are not limited to: answering inbound calls, answering questions from customers, selling service packages to customers,…",3d,https://www.simplyhired.com/job/smr5bAIQuiWkuxQDVeIFv6KD97CDswlK-GiCCyxnkXDd3v8hVhlv_A
Dental Assistant,Carolina Dentistry & Dentures —,,$15 - $25 an hour,"Candidates must enjoy a growth and goal-oriented practice. Outstanding service through our unconditional commitment to: providing quality care for patients,…",3d,https://www.simplyhired.com/job/1UzZAYBhA2x0m42mKEhX_ezMHLWwIxLXjl7UIeSnlZ9Jgrqr2BH35A
Warehouse Supervisor-3rd Shift,Carolina Dentistry & Dentures —,,"$48,000 - $58,000 a year","We provide the knowledge, staffing resources and management expertise that will decrease our client's cost while ensuring inventory accuracy, reliable quality…",4d,https://www.simplyhired.com/job/84xntOI94wRPsK03E7P8efWeSPN0uS3P8HNXsfru7b-1xT0srhePHw
HR Generalist,Carolina Dentistry & Dentures —,,,"Bachelor's degree in HR, Business, or related field (or equivalent experience). Consult with managers to define hiring needs and develop hiring plans…",17h,https://www.simplyhired.com/job/gA5NQ_ywrekqAUvv-HitKHDE_ijloNhUG5muoXRNs1BhH-TLjYB6Tg
Medical Revenue Cycle Specialist,Carolina Dentistry & Dentures —,,From $16 an hour,5). Answer patient /staff questions and calls in regards to all insurance billing matters. 4).Post and process payments using both auto and manual functions.,6d,https://www.simplyhired.com/job/-fbAG3VJIgjpja_Ajg8nM_7psboEbVbb1sO8RaCtYqzxmohfhJwaVA
Optometric Technician,Carolina Dentistry & Dentures —,,Up to $16 an hour,"Front desk assistance – phone calls, scheduling, dispensing contact lenses. Paid training - opportunities exist and are encouraged to receive various…",3d,https://www.simplyhired.com/job/jNRbHxwoMFZVX-kFzoPBQ0GNbE-A88ZVS53wnZed8sBL9BZusy3JTQ
Specialties Project Manager,Carolina Dentistry & Dentures —,,,"This role requires a comprehensive understanding of construction processes, materials, and building codes, specifically focusing on items such as specialty…",4d,https://www.simplyhired.com/job/NxcaEM81UsqubE_5Wiz8Qle0C25z5vzQNlwHjXxouiGR4ehPAAdPxw
Portables Technician,Carolina Dentistry & Dentures —,,,Respond to emergency service calls. Must have a clean driving record and reliable transportation to/from the office or job site.,6d,https://www.simplyhired.com/job/lFJIiZMTDBp6AlOMvgJK6cCy6yDV8QtG6x1BLxZUIlK9P_UXE747zg
Warehouse Manager,Carolina Dentistry & Dentures —,,"Up to $90,000 a year","Lead operations for receiving, storing, and shipping hemp-related products, ensuring compliance with federal, state, and local regulations.",3d,https://www.simplyhired.com/job/KFrypLaEahbejFPp3aNFZ-Eood72g59iAtNPapglXOP9GkUB2LnLMw
Building Engineer- Maintenance,Carolina Dentistry & Dentures —,,,"Possess and maintain a valid driver’s license and good driving record with periodic checks. Assists in the repair and maintenance of a wide variety of pumps,…",3d,https://www.simplyhired.com/job/YKiS_MJw7jrhZiRosDlJjk4SrSrFDPPa41qccT5zebsFRwcJURzv9g
Medical Front Desk,Carolina Dentistry & Dentures —,,,"Candidate must be a self-started, and adapt to departmental changes when necessary. Planning and Organizing – Establishing courses of action for self and others…",2d,https://www.simplyhired.com/job/V6xwI5FVIaeyLJv5AOsE3u9M6ZUyMx9bF3KtZNcDGEz6hcyvLO2_KQ
SEO Scholars Adminsitrative Assistant,Carolina Dentistry & Dentures —,,"From $45,000 a year","Coordinate details for external visits (ie. donors, foundations, special guests) to Saturday, summer, and occasional online weeknight programming.",14h,https://www.simplyhired.com/job/eToA-gNMWpjZQlyHqd1D5SdpZEX9qydCag2r7_8iktTYOsuVZI5IZQ
Process Technician - 3rd Shift,Carolina Dentistry & Dentures —,,,"Inform the Operations Maintenance Coordinator about technical issues and improvement ideas. Participate directly to changeovers, repairments and preventive…",14h,https://www.simplyhired.com/job/OdkecgY8XZ5-RJrZvfmHiskBTkl2VTpr0V8WhUPB3HSMFYAOl25LVw
Operation Specialist,Carolina Dentistry & Dentures —,,,Bachelor's degree in Business Administration or a related field (preferred). Proficiency in remote communication tools and software.,4d,https://www.simplyhired.com/job/SD-RnBXALwljqpMdfD66WlKOteZVRjuG__1rYVH458llUONSukXCcw
Patient Collections Specialist,Bethany Medical —,,,Answer incoming phone calls regarding patient statement/balances. Place outgoing phone calls to collect on patient balances. 401-K with company matching.,2d,https://www.simplyhired.com/job/5EcD_KfJhpigfmILccnwAFMi8cxKz5yLcTrvDF4j5NCZsgDLZ0O1vA
Treatment Coordinator at Private Practice,Bethany Medical —,,$22 - $25 an hour,Vast knowledge of dental insurances and the revenue cycle. A hands-on customer service approach. In-depth knowledge of dentistry with a keen ability to describe…,15h,https://www.simplyhired.com/job/4X2TA4M-YUqq_b_mOE1919LTY5jxi-zUClIsBR2rEBJ-144X_iZJPQ
Relationship Banker - North Main,Bethany Medical —,,,Makes outbound guidance calls to member owners. Assists members with their current and future financial goals through conducting quality guidance and credit…,17h,https://www.simplyhired.com/job/A979tmL0sCudb5CXXcOhsxL-8VfxHzMrj7SOAvFzGBG8UdbIZ017MQ
Patient Services Representative Float,Bethany Medical —,,,Must be able to interact with individuals of all cultures and levels of authority by answering phones or face-to-face greeting.,6d,https://www.simplyhired.com/job/M5jFUHOoeHLtiLNYl2TLsvuQQwO2ajo5pUZ_o7HNxcy_W5kkk0c0Ew
Front Desk Receptionist / Medical Assistant,Bethany Medical —,,,Medical receptionist: 2 years (Required). It is an expectation that all employees will report any suspected violations of any federal or state laws to either…,3d,https://www.simplyhired.com/job/rPOijiNZ3bCxiX0IoZQYtMbwZuvXbMiGUaOA3vaFtgaZxMGkXVMn-Q
"Parts Back Counterperson- Greensboro, NC",Bethany Medical —,,$18 - $24 an hour,"Follows prescribed cash, credit, and check processing procedures of the dealership. Knowledge of supplies, equipment, and mechanical parts.",7h,https://www.simplyhired.com/job/Oat6eJZO44rbfsXB0V0tqcqW-nJeiuYgfvGVDQBD4BEiPOyBJubLnA
Inexperienced Associate,Bethany Medical —,,,"For new and experienced professionals, we offer continuous group training, one-on-one development planning, state-of-the-art training programs, referral-based…",3d,https://www.simplyhired.com/job/KJTeHn-OozbRk_MrmgcK54I7RELFNZwrWfm-9nx4faiYrXiTBKEkaQ
HR Generalist,Bethany Medical —,,,"Bachelor's degree in HR, Business, or related field (or equivalent experience). Consult with managers to define hiring needs and develop hiring plans…",17h,https://www.simplyhired.com/job/gA5NQ_ywrekqAUvv-HitKHDE_ijloNhUG5muoXRNs1BhH-TLjYB6Tg
Specialties Project Manager,Bethany Medical —,,,"This role requires a comprehensive understanding of construction processes, materials, and building codes, specifically focusing on items such as specialty…",4d,https://www.simplyhired.com/job/NxcaEM81UsqubE_5Wiz8Qle0C25z5vzQNlwHjXxouiGR4ehPAAdPxw
Dental Insurance Coordinator (hybrid),Bethany Medical —,,,"Current opening is a permanent, full-time position working 4 or 5 days (32 - 40 hours each week), depending on candidate’s availability.",1d,https://www.simplyhired.com/job/kkwRTqce6hWSSo8h_4fm5ns5KXZJe8aJFeNq19rrx_7HjCFdXfrg3Q
Charge Nurse (FT 3rd),Bethany Medical —,,,"These duties include assessment, planning, implementation, evaluation, and reporting on patient plans of care within skilled nursing or short-term stay…",8h,https://www.simplyhired.com/job/avPek5ieoA7EOAvDh2hL5u667orUVf6kWOIKUBKvT-2_xIlpBPUxtA
Dental Assistant,Bethany Medical —,,From $20 an hour,"A successful candidate for this position should have the ability to prioritize, organize, and complete tasks in a timely and independent manner, and have the…",3d,https://www.simplyhired.com/job/wGu4U_ZUoPxbo-XbkCo9yBkjT-jR_k8ljlmyecVO6AY2a2W8nk4E6A
Detailing Coordinator,Bethany Medical —,,,"Under the direction of JMS Management, be involved in all construction conflicts/disputes (whether contractor, sales rep, designer, placer, detailer or shop),…",6d,https://www.simplyhired.com/job/TQcITFl4zjlbQwJUPZcPz2-Io9rcozbCEBaNRj90HYlw6quo_UEjDw
Warehouse Manager,Bethany Medical —,,"Up to $90,000 a year","Lead operations for receiving, storing, and shipping hemp-related products, ensuring compliance with federal, state, and local regulations.",3d,https://www.simplyhired.com/job/KFrypLaEahbejFPp3aNFZ-Eood72g59iAtNPapglXOP9GkUB2LnLMw
Portables Technician,Bethany Medical —,,,Respond to emergency service calls. Must have a clean driving record and reliable transportation to/from the office or job site.,6d,https://www.simplyhired.com/job/lFJIiZMTDBp6AlOMvgJK6cCy6yDV8QtG6x1BLxZUIlK9P_UXE747zg
Inbound Sales Call Center Representative,Bethany Medical —,,$18 an hour,"The responsibilities include but are not limited to: answering inbound calls, answering questions from customers, selling service packages to customers,…",3d,https://www.simplyhired.com/job/smr5bAIQuiWkuxQDVeIFv6KD97CDswlK-GiCCyxnkXDd3v8hVhlv_A
General Manager,Bethany Medical —,,,The General Manager will oversee a Director of Operations and Client Managers who are leading client interactions and leadership activities throughout the field…,6d,https://www.simplyhired.com/job/oA5_SQM5nkfomk5TT8AWqGDNwr_T5-p_ljOmoGEAPMMharREJD6krw
Production Associate 12 hour Swing Shift,Bethany Medical —,,,Must be able to demonstrate and validate basic functional skills to support different machines throughout the plant. High School diploma or equivalent required.,6d,https://www.simplyhired.com/job/XKlPCJS354ziyShOCpreUG2jDTqAT-Xlp0Mh4R7ZdUOJu8CrjPpZTw
Roll Shop Stand and Guide Builder - NSLX,Bethany Medical —,,,"They must be well-rounded individuals who can perform efficient work on a variety of equipment, executing mechanical, hydraulic, pneumatic, and electrical…",13h,https://www.simplyhired.com/job/qi3bga1lb1t33czYbu-6_EHFklx_uf72iytu4p54xd_tf7_QGynYzA
"Housekeeper, Maid",Joshua Dental —,,From $35 an hour,"As a Housekeeper, you will be responsible for maintaining a clean and orderly environment for our guests. Hospitality: Provide friendly and efficient service to…",15h,https://www.simplyhired.com/job/lhnOxSNKN_AxeEGZxbTFBCqa_edMAaPLapgNS9Yi8L_zWLZRwUjE0g
6622 - Super User,Joshua Dental —,,"$5,000.00 - $5,416.67 a month",Coordinating the credentialing process including license assignment for clinicians and non-clinician users at participating clinics.,9h,https://www.simplyhired.com/job/lvbzvUo_lqtdSfV93Eo2xwCbDtb5AOjE65-QD8R7cTlU2fbR3Z4NNg
Host,Joshua Dental —,,$16.78 an hour,"Our Host are relied on to provide memorable, thoughtful experiences through engaging with our guests, preparing delicious Zinc beverages, serving Zinc foods…",3h,https://www.simplyhired.com/job/QThw1aNoFKmuOX564BCrHS6hYlDYtxPdvmJeZoMMMAhhwqlk_hR-Qw
Vanir is looking for Estimators!,Joshua Dental —,,"$90,000 - $135,000 a year","Bachelor's Degree with emphasis in technical disciplines such as engineering, construction management, architecture, or equivalent technical area of study.",3d,https://www.simplyhired.com/job/rl2H5nvAbezG-bKoXDif-xQt143LbAU4hqBIhOlbdikLI6Su0uLcRw
Maintenance Mechanic,Joshua Dental —,,$35.06 an hour,"One-year certificate from college or technical school, plus (2) year experience in maintenance in food manufacturing or Industrial mechanic field; or equivalent…",15h,https://www.simplyhired.com/job/FPnRinLWz63180No-ioIQpzdgqTmt2WQRhsglw3JARlwrdQ55Dwu3g
Logistics Representative,Joshua Dental —,,$22 - $25 an hour,"Effectively manage large amounts of incoming calls. Build sustainable relationships of trust through open and interactive communication and provide accurate,…",13h,https://www.simplyhired.com/job/puTH3o96-WNVw3fly01ZkmOSWY9CjE81OFRhjlA0gtPY8nc2x9xl8A
"Director, Member Relations and Learning Programs",Joshua Dental —,,"$100,000 - $130,000 a year","Knowledge and experience of learning program design, including developing outcomes, scope, and sequence; creating lesson plans; tracking learner progress; and…",13h,https://www.simplyhired.com/job/o4Y_R4tLVjhh2ePtezdzJyvUMHmjoeLjevnW5yfdj2hdOGXXZLUelA
Warehouse Storeperson,Joshua Dental —,,,401K Retirement with employer matching. Accurately checking and packing orders. Picking orders with an RF Scanning Device.,5d,https://www.simplyhired.com/job/obs5nBKQ5PRPbDn5HugS5-LHeVcoPTI-wI1QZdIZgFWfcD_HFwre4A
Senior Associate,Joshua Dental —,,"$105,000 - $120,000 a year","Work closely with Senior Associate II and other associates to design and implement services for clients including strategic consulting, planning and strategy…",2d,https://www.simplyhired.com/job/Al1ZN8j7J2IV8YnNQTrs_lPntSVtPbEfHHD1OZeb6Bl0a6vFa8Owsg
Territory Sales Representative,Joshua Dental —,,"$50,000 - $100,000 a year","Possess a dependable vehicle, valid driver’s license, and an acceptable driving record. Travel and make regular face-to-face sales calls to maintain customer…",19h,https://www.simplyhired.com/job/Lr-Y-MYUxmflVwdkZY76ays7gNLmHA1azy3KUiYSTYswiVfwcHNE2Q
Front Desk Receptionist – Medical Office,Joshua Dental —,,$18 - $25 an hour,Answer phones; take and relay messages; refer callers to other departments as needed. Perform pre-certification and/or referrals as needed.,11h,https://www.simplyhired.com/job/9Mj6WxqxmV-fsRIzAbNybrYP5lu2m-eB8zf1t0jvnPj_zeBBQGtZNg
Housing Eligibility Specialist,Joshua Dental —,,"$76,638.96 - $89,861.40 a year","Under general supervision, performs a variety of administrative, technical and field tasks in accordance with the rules and regulations of the U.S.",11h,https://www.simplyhired.com/job/wrpfUJB9thgzPwuBfOwBOq10LVtl9whj_kBGjmTmm9-BNpm2LD9eVA
Dental Receptionist/Assistant,Joshua Dental —,,$18 - $25 an hour,"We are a group practice that is seeking an upbeat friendly receptionist to help answer phones, greet and check in patients and check as well as follow up with…",12h,https://www.simplyhired.com/job/AvV9QKo5JLI6jFPQujcmvQPXu2wgibMWxx0CGVKq6tfTLYiDcxAPhg
Vanir is looking for Construction Managers!,Joshua Dental —,,"$100,000 - $145,000 a year","Responsible as onsite liaison with contractor and oversight of progress of construction. Knowledge and application of construction estimating, cost, project…",3d,https://www.simplyhired.com/job/cQbRw_-Hi22YQTU2dTLzh7aJAoEBikO7Ua-IJT0lH4LDk9KlinOh0w
Lead Budtender,Joshua Dental —,,$21 an hour,Minimum 21 years of age (or as required by state regulations. Knowledge of the state’s cannabis regulations. Point of sale system entry.,9h,https://www.simplyhired.com/job/YkbVGIpzwDrvkAK6MVahLzzGTJ1kakShQq4TH6LITjYjffRD1Vu4hA
SQL Developer,Joshua Dental —,,"$85,832.67 - $103,368.38 a year","Assist in all phases of the reporting software development cycle including requirements gathering, analysis, design, testing, implementation, and production…",18h,https://www.simplyhired.com/job/bkvb7kI6cfXUNTaYv-p7IyTXqae7KtvbCnP_elFrCNVf4LgYQ8ruUg
Transportation Manager,Joshua Dental —,,,"Bachelor's Degree in Supply Chain, logistics, business or a related field. You will work closely with our internal teams to manage and develop a first-class…",6d,https://www.simplyhired.com/job/yObSlX25hO8lHTEKEp7PsAlmRMJ02n7mqgpxyC19G-pIFbOrkZy8lA
