,Title,Company,Location,Date Posted,Summary,Job Link
26,Dental Hygiene-Clinical Instructors (Pool),Mount Wachusett Community College,"Fitchburg, MA",PostedPosted 30+ days ago,"Promotes high standards of professional dental hygiene practice;
Submit weekly student attendance sheets in accordance with dental department timeframes;",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=1be3c5a149e2cd71
27,Adjunct Instructor - Dental Hygiene,Goodwin University,"East Hartford, CT 06118",PostedPosted 7 days ago,"Current CT dental hygiene license.
Understands the scope of practice for dental hygienists along with skill level being taught each year and stays within these…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=a1b5b07f8aa9c084
28,"Director, Dental Hygiene & Assistant/Associate Professor",University of New England,"Portland, ME (Riverton area)",PostedPosted 9 days ago,"Facilitate professional development opportunities for dental hygiene faculty.
The Director will work with the dean and other administrators and the dental…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=bc3bc679559f19a0
29,Billing Coordinator - School of Dental Medicine,Tufts University,"Boston, MA 02111 (Chinatown area)",PostedPosted 30+ days ago,"Experience in a fast-paced dental/medical setting.
Accurate timely creation and submission of claims to dental/medical insurance companies.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&vjk=c4f01ef6748a562b
30,Dental Assistant,Boston Medical Center,"Boston, MA 02118 (South End area)",PostedPosted 30+ days ago,"POSITION SUMMARY: Assists in patient treatment with Dentist and assists the Dental Department with patient flow, sterilization and asepsis of equipment,…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=b27480c0b96158dc
31,CFO- Dental Industry - Consulting and Outsourcing,CliftonLarsonAllen,"Quincy, MA 02169",PostedPosted 30+ days ago,"CLA is a top 10 national professional services firm where our purpose is to create opportunities every day, for our clients, our people, and our communities…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=5f842aaab4450c0b
32,Educational Support Coordinator - School of Dental Medicine,Tufts University,"Hybrid work in Boston, MA 02111",PostedPosted 30+ days ago,Overview: Tufts University School of Dental Medicine (TUSDM) offers one of the most forward-looking educational environments in dental medicine in the country…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=776824bd76f564d8
33,Dental Assistant I-New Hiring Rates!!,Rhode Island Hospital,"Providence, RI 02903 (Downtown area)",PostedPosted 30+ days ago,Summary: The Dental Assistant reports to the Clinical Dental Supervisor Practice Manager of Samuels Sinclair Dental Center and/or it�s Director. Under the…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=c5bcf156b0bea042
34,"DENTAL DISPENSARY SUPERVISOR, School of Dental Medicine, Clinical Affairs - Administration",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 30+ days ago,"Supervises staff in operating and maintaining all dispensaries, determining adequate inventory levels and availability of dental materials and clinic supplies…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=dae0c90a5ed267b1
35,Senior Dental Assistant - Tufts Dental Special Needs,Tufts University,"Wrentham, MA 02093",PostedPosted 1 day ago,Overview: Tufts University School of Dental Medicine (TUSDM) offers one of the most forward-looking educational environments in dental medicine in the country…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=c6f0c0acc5f8dbe0
36,Dental Assistant,Greater Portland Health,"Portland, ME 04101 (West Bayside area)",PostedPosted 30+ days ago,Are you ready to make a meaningful impact on the lives of our community members? Greater Portland Health is expanding its Oral Health Program and seeks a…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=52c19d7ec1a9f04f
37,Dentist- Community Health- JP,Brigham & Women's Hospital(BWH),"Jamaica Plain, MA 02130",PostedPosted 30+ days ago,Dentist- Community Health- JP - (3281796) DENTIST/ FULL TIME/ BWH BROOKSIDE COMMUNITY HEALTH CENTER - JAMAICA PLAIN / BOSTON ABOUT BROOKSIDE COMMUNITY…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=742795866ec3dfc0
38,Dental Hygienist,US Veterans Health Administration,"Bedford, MA 01730",PostedPosted 6 days ago,Duties The Dental Hygienist provides direct patient care under the general supervision of the dentist and performs other clinical and clerical functions…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=7d8166f7ca67228a
39,Dental Receptionist,East Bay Community Action Program,"Newport, RI 02840 (Downtown area)",PostedPosted 14 days ago,"East Bay Community Action Program (EBCAP) is seeking a full time Dental Receptionist for our Dental Center at 19 Broadway in Newport, RI. The Receptionist…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=77ca63ba894405af
40,Dentist,Whittier Street Health Center,"Roxbury, MA 02120 (Jamaica Plain area)",PostedPosted 13 days ago,Description: Actively participate in the dental clinic department Perform oral examinations Evaluate x-rays to determine patients’ oral health Treat or…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=aabcbeb4f84359c2
41,Dental Hygienist - Per Diem,Wentworth-Douglass Hospital(WDH),"Dover, NH 03820",PostedPosted 19 days ago,"Dental Hygienist - Per Diem - (3284567) Wentworth-Douglass Hospital, an affiliate of Mass General Brigham, is committed to supporting patient care, research…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=7d623b77b0929829
42,"Associate Dean, Clinic Operations and Quality of Care, and Associate Clinical/Clinical Professor, College of Dental Medicine",University of New England,"Portland, ME (Riverton area)",PostedPosted 9 days ago,NOMINATIONS AND APPLICATIONS The University of New England has retained the services of the executive search firm Korn Ferry. Applicants should submit the…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=d5b0275600f50fe4
43,"Sales, Field Sales Rep - Oral Healthcare (NH/ME)",Philips,"Manchester, NH",PostedPosted 13 days ago,"Job Title Sales, Field Sales Rep - Oral Healthcare (NH/ME) Job Description Field Sales Representative-Oral Healthcare (New Hampshire/Maine) The Field Sales…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=a4a590818425c4be
44,Staff Dentist,Mass General Physicians Organization(MGPO),"Boston, MA 02113 (North End area)",PostedPosted 30+ days ago,Staff Dentist - (3271656) GENERAL SUMMARY/OVERVIEW STATEMENT: Works in collaboration with dental staff for the provision of General Dentistry services at…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=cb4e2946eb53d988
45,Dental Assistant,Wayland Dental,"Wayland, MA 01778",PostedPosted 6 days ago,"Work with and maintain all dental equipment.
Sterilize and prepare instruments for tray setups before dental procedures.
On the job training available.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=b2e5a7db3897bbc9
46,Dental Hygienist- New Hiring Rates!!,Rhode Island Hospital,"Providence, RI 02903 (Downtown area)",PostedPosted 30+ days ago,"Prepares the teeth and applies dental sealants.
Exposes and develops dental radiographs for diagnostic examination.
May assist dentist in the operating room.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=7263f25b66296226
47,Dental Sterilization Technician,East Bay Community Action Program,"Newport, RI 02840 (Downtown area)",PostedPosted 30+ days ago,"Become part of our dental team and that provides excellent and comprehensive care with a focus on safety, quality, service and patient satisfaction.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=ada6240c317b8a73
48,"TRANSLATIONAL RESEARCH GRANT ADMINISTRATOR, School of Dental Medicine, Associate Dean of Research",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 30+ days ago,"Manage research applications and awards at the School of Dental Medicine including 10 departments and two centers.
Serve as liaison to OSP, IRB and Compliance.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=b3e6e8f32e6109d6
49,Director of Planning and Facilities for Harvard School of Dental Medicine (HSDM),Harvard University,"Hybrid work in Boston, MA",PostedPosted 11 days ago,"Health and Welfare: Comprehensive medical, dental, and vision benefits, disability and life insurance programs, along with voluntary benefits.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=4a4d0e6475374462
50,"Clinical Assistant Professor, General Dentistry, College of Dental Medicine",University of New England,"Portland, ME (Riverton area)",PostedPosted 9 days ago,"The package includes varied health and dental plans; a retirement plan that includes up to an 8% match; extensive paid leave including holidays, vacation, sick…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=75385d83fba03db0
51,Patient Coordinator FT,New England Dental Partners,"Bourne, MA 02532",PostedPosted 23 days ago,"Classification: Hourly/Non-Exempt Full-time or Part-time.
Daily goals are achieved primarily by supplying friendly and accurate information to callers for…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=b87994356b269bfc
52,"Dental Team Lead - Longmeadow, MA",Mondovi Dental,"East Longmeadow, MA 01028",PostedPosted 20 days ago,"In this role, you'll support our mission of Smiles For Everyone® by overseeing daily operations, fostering a positive patient experience, and supporting the…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=1f1ee6d5432ca301
53,"DENTAL RADIOLOGY TECHNICIAN, Dept. of Oral & Maxillofacial Radiology",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 15 days ago,Primary commitment will be to make radiographs as prescribed for the GSDM patients including assistance of chairs where treatment planning is being conducted.,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=3163901b62405af8
54,Dental Assistant in Training,East Bay Community Action Program,"Newport, RI 02840 (Downtown area)",PostedPosted 24 days ago,"Become part of our dental team and provide excellent and comprehensive care with a focus on quality, service and patient satisfaction.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=cbc26c3dc9167c13
55,"Chair, Department of Preventative, Pediatric, and Community Dentistry",University of New England,"Portland, ME (Riverton area)",PostedPosted 9 days ago,"Candidates must demonstrate a passion for Preventative, Pediatric, and Community Dentistry and for dental education.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=6ad76992ebde1f91
56,Dental Assistant -New London (FT),Moses / Weitzman Health System,"New London, CT 06320",PostedPosted 26 days ago,"Supports dentist in delivering primary dental care, prepares equipment and workplace for use, and contributes to supportive atmosphere for dental patients.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=4cf7794adae9fa77
57,"SENIOR DENTAL ASSISTANT, School of Dental Medicine, Clinical Affairs",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 30+ days ago,"The Senior Dental Assistant is responsible to provide support to the Dental Assistant Supervisor to manage, provide guidance and direct the daily workflow of…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=45178a34a12049c8
58,Dental Hygienist and/or Community Dental Hygienist,East Bay Community Action Program,"Newport, RI 02840 (Downtown area)",PostedPosted 30+ days ago,The employee is responsible for updating the patient's medical and dental history and working with the dentist to chart findings in the patient's electronic…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=92191e5176fda3a6
59,Associate Dentist,Wayland Dental,"Wayland, MA 01778",PostedPosted 5 days ago,"We are looking for an exceptional candidate that prioritizes patient care to drive practice growth.
Candidates should have a minimum of 2-4 years of clinical…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=43528b51c0585185
60,"HYGIENIST, School of Dental Medicine, Clinical Affairs",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 30+ days ago,"Providing clinical services by exposing radiographs, performing dental cleanings, performing scaling and root planning with the local anesthesia, dispense…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=78d2657edd72e97b
61,Adjunct Faculty - Clinic Dentist,MCPHS,"Boston, MA 02115 (Fenway area)",PostedPosted 30+ days ago,"Provide supervision of dental and dental hygiene care to MCPHS University patients.
The Adjunct Faculty - Clinic Dentist is primarily responsible for the…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=ca810cd2f26ef59c
62,Dental Billing Collection Clerk - FT - Days,Trinity Health Of New England,"Hartford, CT 06105 (Asylum Hill area)",PostedPosted 28 days ago,"Come join our Community Dental Center team at Saint Francis Hospital, a member of Trinity Health Of New England!
Performs reception duties when scheduled.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=0c1f20e06b08915e
63,Lead Dental Assistant - Tufts Dental Special Needs,Tufts University,"Groton, MA 01450",EmployerActive 3 days ago,"Maintains and organizes dental supplies and equipment.
Participates in the recruitment and interviewing of new dental assistants.
Pay: $26.40 - $36.40 per hour.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=ef9ac7b6e11e9ce8
64,Medical Practice Assistant - Oral Surgery,Brigham & Women's Hospital(BWH),"Boston, MA 02130 (Jamaica Plain area)",PostedPosted 8 days ago,"Medical Practice Assistant - Oral Surgery.
The Medical /Practice Assistant (MA/PA) is an integral member of the healthcare team within the Division of…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=168059d258e9814e
