Title,Company,Location,Salary,Job Type,Date Posted,Summary,Job Link
Dentist- Saturday Only $87.50/HR,St. John's Community Health,"Los Angeles, CA 90037 (South Los Angeles area)",,,EmployerActive 5 days ago,"Graduate dentist with a state license or regional boards and eligible to practice Dentistry in California.
The preference is for a General Dentist with a min of…",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=36323f40f7f6d041
Associate General Dentist,SMDC,"Culver City, CA 90230",,,PostedJust posted,"Proficient in all dental procedures including Diagnostics, Extractions, Endo, Crown and Bridge, Implant and Dentures.
Expected hours: 16 per week.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=bcf052579167dc5e
General Associate Dentist,Garfield Dental Group,"Monterey Park, CA",,,PostedPosted 1 day ago,"General Associate Dentist needed in Monterey Park and Rowland Heights Office. prefer having some mandarin knowledge.
Job Types: Full-time, Part-time, Contract.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=82a65c67c0df9493
Part-time Associate Dentist,PhD Dental Group (Los Angeles CA),"Los Angeles, CA 90023 (Boyle Heights area)",,,PostedToday,"We work with Denti-cal, PPO insurance, and cash patients.
Compensation: Daily base $650 or 27% averaged monthly.*.
Job Types: Full-time, Part-time.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=8880ce5c9f2107b1
Associate General Dentist (to see pediatric patients),PhD Dental Group,"Lynwood, CA 90262",,,PostedToday,"Compensation is based on a competitive guaranteed daily min + daily bonus.
Must be Dentical Provider (Required).",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=ce9a75bff68e0c33
Associate General Dentist,Crenshaw Professional Dental Center,"Los Angeles, CA 90016 (West Adams area)",,,EmployerActive 7 days ago,"*Spanish speaking is preferred, but not necessary.",https://www.indeed.com/jobs?q=Dentist+Jobs&vjk=94302332284aaa35
Dentist - Glenville Expansion,METROHEALTH MEDICAL CENTER,"Cleveland, OH 44109 (Brooklyn Centre area)",,,PostedPosted 7 days ago,"The MetroHealth System in Cleveland, OH, Department of Dental Medicine is seeking a Dentist to work at our MetroHealth Family Dentistry Clinic.",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=6fa799fdb81f046f
General Dentist,Cleveland Clinic,"Cleveland, OH 44101",,,PostedPosted 5 days ago,"The Section of Dentistry and Oral Surgery at Cleveland Clinic is seeking a full time general/restorative dentist.
Excellent medical, dental, vision coverage.",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=3d90912ed22ae548
Dentist - DMD / DDS,Aspen Dental,"Cleveland, OH",,,PostedPosted 30+ days ago,"This opening is a lead dentist role, Managing Clinical Director.
Aspen Dental-branded practices are independently owned and operated by licensed dentists.",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=893b9520b9907de4
Supervising Dentist,Cuyahoga Community College,"Cleveland, OH 44115 (Downtown area)",,,PostedPosted 30+ days ago,"Reports To: Program Director, Dental Hygiene.
Employment Type: Part-Time Support Staff.
Days can vary depending on clinic schedule.",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=f3aec6fa27132035
Oral and Maxillofacial Surgeon,Cleveland Clinic,"Cleveland, OH 44101",,,PostedPosted 30+ days ago,"Oral and Maxillofacial Surgeon BC/BE.
Strong growth has led to opportunities for both newly trained and mid-career physicians to practice with The Section of…",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=61151ac045ddf38e
Pediatric Dentist,Bright Now! Dental,"Cleveland, OH 44109 (Tremont area)",,,PostedPosted 30+ days ago,"At Bright Now Dental we pride ourselves on being a people-first organization, led by passionate and experienced doctors.
Compensation Range: $1, 200 - $1,500.",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=c70fb1549a9d64bf
Prosthodontist,ProSmile,"Cleveland, OH",,,PostedPosted 30+ days ago,Smart Arches is searching for an experienced Prosthodontist Associate that is looking for an amazing and unique opportunity.,https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=351c114238749de7
Associate Dentist,University Heights Dental,"Cleveland, OH 44121",,,PostedPosted 30+ days ago,"We are a state of the art general dentistry office looking for a full or part time associate dentist.
Our private practice is growing and we are in need of an…",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=098930b7172b56de
GENERAL DENTIST Associate / Option To Purchase,"Elite Dentistry Center- General,Cosmetic &...","Beachwood, OH",,,EmployerActive 2 days ago,"Overview: We are seeking a skilled and experienced Dentist to join our dental practice.
As a Dentist, you will be responsible for providing high-quality dental…",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=52fac2d674dac2e0
Dentist - Associate Dentist,Gentle Dental,"Cleveland, OH 44109 (Old Brooklyn area)",,,EmployerActive 21 days ago,Our family friendly private practice is seeking an experienced associate dentist who is exceptionally motivated and loves to be around others.,https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=91693b86456a7a40
General Dentist,"Dr Hani, DDS","Cleveland, OH 44115 (Central area)",,,EmployerActive 5 days ago,"We are looking for a Provider that is patient, as well as employee centric minded.
Our candidate will be working with their own patient base that is already…",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=846025f9aead16be
General Dentist,Fioritto Family Dental,"Cleveland, OH",,,EmployerActive 6 days ago,"$20k SIGN ON BONUS*.
Fioritto Family Dental in Lake County is seeking full and part-time associates for our Mentor, OH and Concord, OH offices.",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=b99edd39167ec622
Dentist,Northeast Ohio Neighborhood,"Cleveland, OH 44103 (Hough area)",,,PostedPosted 30+ days ago,"Under the supervision of the Dental Director, the Dentist is responsible for providing clinical dental services and preventative dental care in an out-patient…",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=c0938b162848e6ed
General Dentist,Dental Works,"Cleveland, OH",,,EmployerActive 2 days ago,"Seeking talented, experienced Dentist to provide quality dental care in our busy yet collaborative and supportive Dental Practices in Cleveland, Ohio.",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=9cc512dcbc93c846
Associate Dentist Needed,Rockside Family Dental Care LLC,"Independence, OH 44131",,,PostedPosted 20 days ago,"Great Opportunity for an associate dentist!
Looking for full time (licensed) associate dentist.
Someone who is not only a good dentist but also someone who…",https://www.indeed.com/jobs?q=Dentist+Jobs&l=Cleveland+OH&vjk=b0e3f3bb472d8812
